id, DateAndTime,Millitm,TagIndex,Val,Status,Marker
0, 2023-12-04 23:57,539,0,4041, ,S
0, 2023-12-04 23:57,539,1,965, ,S
0, 2023-12-04 23:57,539,2,0, ,S
0, 2023-12-04 23:57,539,3,0, ,S
0, 2023-12-04 23:57,539,4,0, ,S
0, 2023-12-04 23:57,539,5,15, ,S  
0, 2023-12-04 23:57,539,6,13, ,S
0, 2023-12-04 23:57,539,7,4, ,S
0, 2023-12-04 23:57,539,8,0, ,S
0, 2023-12-04 23:57,539,9,0, ,S
0, 2023-12-04 23:57,539,10,0, ,S
0, 2023-12-04 23:57,539,11,24, ,S
0, 2023-12-04 23:57,539,12,2, ,S
0, 2023-12-04 23:57,539,13,0, ,S
0, 2023-12-04 23:57,539,14,0, ,S
0, 2023-12-04 23:57,539,15,0, ,S
0, 2023-12-04 23:57,539,16,0, ,S
0, 2023-12-04 23:57,539,17,16, ,S
0, 2023-12-04 23:57,539,18,39, ,S
0, 2023-12-04 23:57,539,19,19, ,S
0, 2023-12-04 23:57,539,20,89, ,S
0, 2023-12-04 23:57,539,21,12, ,S
0, 2023-12-04 23:57,539,22,4040, ,S
0, 2023-12-04 23:57,539,23,40, ,S
0, 2023-12-04 23:57,539,24,1, ,S
0, 2023-12-04 23:57,539,25,3, ,S
0, 2023-12-04 23:57,539,26,46, ,S
0, 2023-12-04 23:57,539,27,18, ,S
0, 2023-12-04 23:57,539,28,9, ,S
0, 2023-12-04 23:57,539,29,0, ,S
0, 2023-12-04 23:57,539,30,0, ,S
0, 2023-12-04 23:57,539,31,0, ,S
0, 2023-12-04 23:57,539,32,0, ,S
0, 2023-12-04 23:57,539,33,0, ,S
0, 2023-12-04 23:57,539,34,0, ,S
0, 2023-12-04 23:57,539,35,0, ,S
0, 2023-12-04 23:57,539,36,0, ,S
0, 2023-12-04 23:57,539,37,0, ,S
0, 2023-12-04 23:57,539,38,0, ,S
0, 2023-12-05 23:57,784,0,4090, ,S
0, 2023-12-05 23:57,784,1,876, ,S
0, 2023-12-05 23:57,784,2,0, ,S
0, 2023-12-05 23:57,784,3,0, ,S
0, 2023-12-05 23:57,784,4,0, ,S
0, 2023-12-05 23:57,784,5,52, ,S
0, 2023-12-05 23:57,784,6,40, ,S
0, 2023-12-05 23:57,784,7,4, ,S
0, 2023-12-05 23:57,784,8,0, ,S
0, 2023-12-05 23:57,784,9,0, ,S
0, 2023-12-05 23:57,784,10,0, ,S
0, 2023-12-05 23:57,784,11,0, ,S
0, 2023-12-05 23:57,784,12,0, ,S
0, 2023-12-05 23:57,784,13,0, ,S
0, 2023-12-05 23:57,784,14,0, ,S
0, 2023-12-05 23:57,784,15,0, ,S
0, 2023-12-05 23:57,784,16,0, ,S
0, 2023-12-05 23:57,784,17,1, ,S
0, 2023-12-05 23:57,784,18,14, ,S
0, 2023-12-05 23:57,784,19,19, ,S
0, 2023-12-05 23:57,784,20,62, ,S
0, 2023-12-05 23:57,784,21,13, ,S
0, 2023-12-05 23:57,784,22,4077, ,S
0, 2023-12-05 23:57,784,23,45, ,S
0, 2023-12-05 23:57,784,24,7, ,S
0, 2023-12-05 23:57,784,25,3, ,S
0, 2023-12-05 23:57,784,26,0, ,S
0, 2023-12-05 23:57,784,27,0, ,S
0, 2023-12-05 23:57,784,28,0, ,S
0, 2023-12-05 23:57,784,29,0, ,S
0, 2023-12-05 23:57,784,30,0, ,S
0, 2023-12-05 23:57,784,31,0, ,S
0, 2023-12-05 23:57,784,32,0, ,S
0, 2023-12-05 23:57,784,33,0, ,S
0, 2023-12-05 23:57,784,34,0, ,S
0, 2023-12-05 23:57,784,35,0, ,S
0, 2023-12-05 23:57,784,36,0, ,S
0, 2023-12-05 23:57,784,37,0, ,S
0, 2023-12-05 23:57,784,38,0, ,S
0, 2023-12-08 10:50,369,0,0,U,B
0, 2023-12-08 10:50,369,1,0,U,B
0, 2023-12-08 10:50,369,2,0,U,B
0, 2023-12-08 10:50,369,3,0,U,B
0, 2023-12-08 10:50,369,4,0,U,B
0, 2023-12-08 10:50,369,5,0,U,B
0, 2023-12-08 10:50,369,6,0,U,B
0, 2023-12-08 10:50,369,7,0,U,B
0, 2023-12-08 10:50,369,8,0,U,B
0, 2023-12-08 10:50,369,9,0,U,B
0, 2023-12-08 10:50,369,10,0,U,B
0, 2023-12-08 10:50,369,11,0,U,B
0, 2023-12-08 10:50,369,12,0,U,B
0, 2023-12-08 10:50,369,13,0,U,B
0, 2023-12-08 10:50,369,14,0,U,B
0, 2023-12-08 10:50,369,15,0,U,B
0, 2023-12-08 10:50,369,16,0,U,B
0, 2023-12-08 10:50,369,17,0,U,B
0, 2023-12-08 10:50,369,18,0,U,B
0, 2023-12-08 10:50,369,19,0,U,B
0, 2023-12-08 10:50,369,20,0,U,B
0, 2023-12-08 10:50,369,21,0,U,B
0, 2023-12-08 10:50,369,22,0,U,B
0, 2023-12-08 10:50,369,23,0,U,B
0, 2023-12-08 10:50,369,24,0,U,B
0, 2023-12-08 10:50,369,25,0,U,B
0, 2023-12-08 10:50,369,26,0,U,B
0, 2023-12-08 10:50,369,27,0,U,B
0, 2023-12-08 10:50,369,28,0,U,B
0, 2023-12-08 10:50,369,29,0,U,B
0, 2023-12-08 10:50,369,30,0,U,B
0, 2023-12-08 10:50,369,31,0,U,B
0, 2023-12-08 10:50,369,32,0,U,B
0, 2023-12-08 10:50,369,33,0,U,B
0, 2023-12-08 10:50,369,34,0,U,B
0, 2023-12-08 10:50,369,35,0,U,B
0, 2023-12-08 10:50,369,36,0,U,B
0, 2023-12-08 10:50,369,37,0,U,B
0, 2023-12-08 10:50,369,38,0,U,B
0, 2023-12-08 23:57,781,0,0, ,S
0, 2023-12-08 23:57,781,1,0, ,S
0, 2023-12-08 23:57,781,2,0, ,S
0, 2023-12-08 23:57,781,3,0, ,S
0, 2023-12-08 23:57,781,4,0, ,S
0, 2023-12-08 23:57,781,5,0, ,S
0, 2023-12-08 23:57,781,6,0, ,S
0, 2023-12-08 23:57,781,7,0, ,S
0, 2023-12-08 23:57,781,8,0, ,S
0, 2023-12-08 23:57,781,9,0, ,S
0, 2023-12-08 23:57,781,10,0, ,S
0, 2023-12-08 23:57,781,11,0, ,S
0, 2023-12-08 23:57,781,12,0, ,S
0, 2023-12-08 23:57,781,13,0, ,S
0, 2023-12-08 23:57,781,14,0, ,S
0, 2023-12-08 23:57,781,15,0, ,S
0, 2023-12-08 23:57,781,16,0, ,S
0, 2023-12-08 23:57,781,17,2, ,S
0, 2023-12-08 23:57,781,18,55, ,S
0, 2023-12-08 23:57,781,19,23, ,S
0, 2023-12-08 23:57,781,20,0, ,S
0, 2023-12-08 23:57,781,21,0, ,S
0, 2023-12-08 23:57,781,22,0, ,S
0, 2023-12-08 23:57,781,23,0, ,S
0, 2023-12-08 23:57,781,24,0, ,S
0, 2023-12-08 23:57,781,25,0, ,S
0, 2023-12-08 23:57,781,26,0, ,S
0, 2023-12-08 23:57,781,27,0, ,S
0, 2023-12-08 23:57,781,28,0, ,S
0, 2023-12-08 23:57,781,29,0, ,S
0, 2023-12-08 23:57,781,30,0, ,S
0, 2023-12-08 23:57,781,31,0, ,S
0, 2023-12-08 23:57,781,32,0, ,S
0, 2023-12-08 23:57,781,33,0, ,S
0, 2023-12-08 23:57,781,34,0, ,S
0, 2023-12-08 23:57,781,35,0, ,S
0, 2023-12-08 23:57,781,36,0, ,S
0, 2023-12-08 23:57,781,37,0, ,S
0, 2023-12-08 23:57,781,38,0, ,S
0, 2023-12-09 23:57,288,0,0, ,S
0, 2023-12-09 23:57,288,1,0, ,S
0, 2023-12-09 23:57,288,2,0, ,S
0, 2023-12-09 23:57,288,3,0, ,S
0, 2023-12-09 23:57,288,4,0, ,S
0, 2023-12-09 23:57,288,5,0, ,S
0, 2023-12-09 23:57,288,6,0, ,S
0, 2023-12-09 23:57,288,7,0, ,S
0, 2023-12-09 23:57,288,8,0, ,S
0, 2023-12-09 23:57,288,9,0, ,S
0, 2023-12-09 23:57,288,10,0, ,S
0, 2023-12-09 23:57,288,11,0, ,S
0, 2023-12-09 23:57,288,12,0, ,S
0, 2023-12-09 23:57,288,13,0, ,S
0, 2023-12-09 23:57,288,14,0, ,S
0, 2023-12-09 23:57,288,15,0, ,S
0, 2023-12-09 23:57,288,16,0, ,S
0, 2023-12-09 23:57,288,17,57, ,S
0, 2023-12-09 23:57,288,18,54, ,S
0, 2023-12-09 23:57,288,19,23, ,S
0, 2023-12-09 23:57,288,20,0, ,S
0, 2023-12-09 23:57,288,21,0, ,S
0, 2023-12-09 23:57,288,22,0, ,S
0, 2023-12-09 23:57,288,23,0, ,S
0, 2023-12-09 23:57,288,24,0, ,S
0, 2023-12-09 23:57,288,25,0, ,S
0, 2023-12-09 23:57,288,26,0, ,S
0, 2023-12-09 23:57,288,27,0, ,S
0, 2023-12-09 23:57,288,28,0, ,S
0, 2023-12-09 23:57,288,29,0, ,S
0, 2023-12-09 23:57,288,30,0, ,S
0, 2023-12-09 23:57,288,31,0, ,S
0, 2023-12-09 23:57,288,32,0, ,S
0, 2023-12-09 23:57,288,33,0, ,S
0, 2023-12-09 23:57,288,34,0, ,S
0, 2023-12-09 23:57,288,35,0, ,S
0, 2023-12-09 23:57,288,36,0, ,S
0, 2023-12-09 23:57,288,37,0, ,S
0, 2023-12-09 23:57,288,38,0, ,S
0, 2023-12-10 23:57,378,0,0, ,S
0, 2023-12-10 23:57,378,1,0, ,S
0, 2023-12-10 23:57,378,2,0, ,S
0, 2023-12-10 23:57,378,3,0, ,S
0, 2023-12-10 23:57,378,4,0, ,S
0, 2023-12-10 23:57,378,5,0, ,S
