id, DateAndTime,Millitm,TagIndex,Val,Status,Marker
0, 2024-02-21 08:19,782,0,820, ,S
0, 2024-02-21 08:19,782,1,1440, ,S
0, 2024-02-21 08:19,782,2,36, ,S
0, 2024-02-21 08:19,782,3,600, ,S
0, 2024-02-21 08:19,782,4,62, ,S
0, 2024-02-21 08:19,782,5,178, ,S
0, 2024-02-21 08:19,782,6,330, ,S
0, 2024-02-21 08:19,782,7,298, ,S
0, 2024-02-21 08:19,782,8,1078, ,S
0, 2024-02-21 08:19,782,9,124, ,S
0, 2024-02-21 08:19,782,10,100, ,S
0, 2024-02-21 08:19,782,11,0, ,S
0, 2024-02-21 08:19,782,12,0, ,S
0, 2024-02-21 08:19,782,13,0, ,S
0, 2024-02-21 08:19,782,14,0, ,S
0, 2024-02-21 08:19,782,15,0, ,S
0, 2024-02-21 08:19,782,16,0, ,S
0, 2024-02-21 08:19,782,17,0, ,S
0, 2024-02-21 08:19,782,18,0, ,S
0, 2024-02-21 08:19,782,19,0, ,S
0, 2024-02-22 15:46,315,0,820, ,S
0, 2024-02-22 15:46,315,1,1438, ,S
0, 2024-02-22 15:46,315,2,36, ,S
0, 2024-02-22 15:46,315,3,598, ,S
0, 2024-02-22 15:46,315,4,58, ,S
0, 2024-02-22 15:46,315,5,178, ,S
0, 2024-02-22 15:46,315,6,328, ,S
0, 2024-02-22 15:46,315,7,300, ,S
0, 2024-02-22 15:46,315,8,1082, ,S
0, 2024-02-22 15:46,315,9,126, ,S
0, 2024-02-22 15:46,315,10,100, ,S
0, 2024-02-22 15:46,315,11,0, ,S
0, 2024-02-22 15:46,315,12,0, ,S
0, 2024-02-22 15:46,315,13,0, ,S
0, 2024-02-22 15:46,315,14,0, ,S
0, 2024-02-22 15:46,315,15,0, ,S
0, 2024-02-22 15:46,315,16,0, ,S
0, 2024-02-22 15:46,315,17,0, ,S
0, 2024-02-22 15:46,315,18,0, ,S
0, 2024-02-22 15:46,315,19,0, ,S
0, 2024-02-26 09:17,945,0,816, ,S
0, 2024-02-26 09:17,945,1,1472, ,S
0, 2024-02-26 09:17,945,2,0, ,S
0, 2024-02-26 09:17,945,3,596, ,S
0, 2024-02-26 09:17,945,4,60, ,S
0, 2024-02-26 09:17,945,5,180, ,S
0, 2024-02-26 09:17,945,6,328, ,S
0, 2024-02-26 09:17,945,7,300, ,S
0, 2024-02-26 09:17,945,8,1082, ,S
0, 2024-02-26 09:17,945,9,126, ,S
0, 2024-02-26 09:17,945,10,104, ,S
0, 2024-02-26 09:17,945,11,0, ,S
0, 2024-02-26 09:17,945,12,0, ,S
0, 2024-02-26 09:17,945,13,0, ,S
0, 2024-02-26 09:17,945,14,0, ,S
0, 2024-02-26 09:17,945,15,0, ,S
0, 2024-02-26 09:17,945,16,0, ,S
0, 2024-02-26 09:17,945,17,0, ,S
0, 2024-02-26 09:17,945,18,0, ,S
0, 2024-02-26 09:17,945,19,0, ,S
0, 2024-02-27 08:39,717,0,814, ,S
0, 2024-02-27 08:39,717,1,1478, ,S
0, 2024-02-27 08:39,717,2,0, ,S
0, 2024-02-27 08:39,717,3,596, ,S
0, 2024-02-27 08:39,717,4,60, ,S
0, 2024-02-27 08:39,717,5,180, ,S
0, 2024-02-27 08:39,717,6,330, ,S
0, 2024-02-27 08:39,717,7,300, ,S
0, 2024-02-27 08:39,717,8,1080, ,S
0, 2024-02-27 08:39,717,9,124, ,S
0, 2024-02-27 08:39,717,10,100, ,S
0, 2024-02-27 08:39,717,11,0, ,S
0, 2024-02-27 08:39,717,12,0, ,S
0, 2024-02-27 08:39,717,13,0, ,S
0, 2024-02-27 08:39,717,14,0, ,S
0, 2024-02-27 08:39,717,15,0, ,S
0, 2024-02-27 08:39,717,16,0, ,S
0, 2024-02-27 08:39,717,17,0, ,S
0, 2024-02-27 08:39,717,18,0, ,S
0, 2024-02-27 08:39,717,19,0, ,S
0, 2024-02-28 08:18,521,0,1152, ,S
0, 2024-02-28 08:18,521,1,1376, ,S
0, 2024-02-28 08:18,521,2,12, ,S
0, 2024-02-28 08:18,521,3,308, ,S
0, 2024-02-28 08:18,521,4,626, ,S
0, 2024-02-28 08:18,521,5,56, ,S
0, 2024-02-28 08:18,521,6,200, ,S
0, 2024-02-28 08:18,521,7,280, ,S
0, 2024-02-28 08:18,521,8,728, ,S
0, 2024-02-28 08:18,521,9,98, ,S
0, 2024-02-28 08:18,521,10,0, ,S
0, 2024-02-28 08:18,521,11,0, ,S
0, 2024-02-28 08:18,521,12,0, ,S
0, 2024-02-28 08:18,521,13,0, ,S
0, 2024-02-28 08:18,521,14,0, ,S
0, 2024-02-28 08:18,521,15,0, ,S
0, 2024-02-28 08:18,521,16,0, ,S
0, 2024-02-28 08:18,521,17,0, ,S
0, 2024-02-28 08:18,521,18,0, ,S
0, 2024-02-28 08:18,521,19,0, ,S
0, 2024-02-29 13:52,251,0,1688, ,S
0, 2024-02-29 13:52,251,1,92, ,S
0, 2024-02-29 13:52,251,2,22, ,S
0, 2024-02-29 13:52,251,3,1338, ,S
0, 2024-02-29 13:52,251,4,66, ,S
0, 2024-02-29 13:52,251,5,14, ,S
0, 2024-02-29 13:52,251,6,300, ,S
0, 2024-02-29 13:52,251,7,760, ,S
0, 2024-02-29 13:52,251,8,28, ,S
0, 2024-02-29 13:52,251,9,30, ,S
0, 2024-02-29 13:52,251,10,2, ,S
0, 2024-02-29 13:52,251,11,112, ,S
0, 2024-02-29 13:52,251,12,0, ,S
0, 2024-02-29 13:52,251,13,0, ,S
0, 2024-02-29 13:52,251,14,0, ,S
0, 2024-02-29 13:52,251,15,0, ,S
0, 2024-02-29 13:52,251,16,0, ,S
0, 2024-02-29 13:52,251,17,0, ,S
0, 2024-02-29 13:52,251,18,0, ,S
0, 2024-02-29 13:52,251,19,0, ,S
0, 2024-03-04 14:05,270,0,1686, ,S
0, 2024-03-04 14:05,270,1,178, ,S
0, 2024-03-04 14:05,270,2,22, ,S
0, 2024-03-04 14:05,270,3,1338, ,S
0, 2024-03-04 14:05,270,4,68, ,S
0, 2024-03-04 14:05,270,5,14, ,S
0, 2024-03-04 14:05,270,6,302, ,S
0, 2024-03-04 14:05,270,7,760, ,S
0, 2024-03-04 14:05,270,8,32, ,S
0, 2024-03-04 14:05,270,9,30, ,S
0, 2024-03-04 14:05,270,10,4, ,S
0, 2024-03-04 14:05,270,11,110, ,S
0, 2024-03-04 14:05,270,12,0, ,S
0, 2024-03-04 14:05,270,13,0, ,S
0, 2024-03-04 14:05,270,14,0, ,S
0, 2024-03-04 14:05,270,15,0, ,S
0, 2024-03-04 14:05,270,16,0, ,S
0, 2024-03-04 14:05,270,17,0, ,S
0, 2024-03-04 14:05,270,18,0, ,S
0, 2024-03-04 14:05,270,19,0, ,S
0, 2024-03-06 10:25,803,0,1690, ,S
0, 2024-03-06 10:25,803,1,180, ,S
0, 2024-03-06 10:25,803,2,22, ,S
0, 2024-03-06 10:25,803,3,1340, ,S
0, 2024-03-06 10:25,803,4,68, ,S
0, 2024-03-06 10:25,803,5,14, ,S
0, 2024-03-06 10:25,803,6,300, ,S
0, 2024-03-06 10:25,803,7,762, ,S
0, 2024-03-06 10:25,803,8,24, ,S
0, 2024-03-06 10:25,803,9,30, ,S
0, 2024-03-06 10:25,803,10,4, ,S
0, 2024-03-06 10:25,803,11,110, ,S
0, 2024-03-06 10:25,803,12,0, ,S
0, 2024-03-06 10:25,803,13,0, ,S
0, 2024-03-06 10:25,803,14,0, ,S
0, 2024-03-06 10:25,803,15,0, ,S
0, 2024-03-06 10:25,803,16,0, ,S
0, 2024-03-06 10:25,803,17,0, ,S
0, 2024-03-06 10:25,803,18,0, ,S
0, 2024-03-06 10:25,803,19,0, ,S
