id, DateAndTime,Millitm,TagIndex,Val,Status,Marker
0, 2024-02-26 09:17,945,60,, ,S
0, 2024-02-26 09:17,945,61,, ,S
0, 2024-02-27 08:39,717,20,, ,S
0, 2024-02-27 08:39,717,21,20011699, ,S
0, 2024-02-27 08:39,717,22,23113445, ,S
0, 2024-02-27 08:39,717,23,ES5222308M13, ,S
0, 2024-02-27 08:39,717,24,230403, ,S
0, 2024-02-27 08:39,717,25,AE037854, ,S
0, 2024-02-27 08:39,717,26,2312025, ,S
0, 2024-02-27 08:39,717,27,ARAC066870, ,S
0, 2024-02-27 08:39,717,28,3169236, ,S
0, 2024-02-27 08:39,717,29,E00854V6, ,S
0, 2024-02-27 08:39,717,30,, ,S
0, 2024-02-27 08:39,717,31,, ,S
0, 2024-02-27 08:39,717,32,, ,S
0, 2024-02-27 08:39,717,33,, ,S
0, 2024-02-27 08:39,717,34,, ,S
0, 2024-02-27 08:39,717,35,, ,S
0, 2024-02-27 08:39,717,36,, ,S
0, 2024-02-27 08:39,717,37,, ,S
0, 2024-02-27 08:39,717,38,, ,S
0, 2024-02-27 08:39,717,39,, ,S
0, 2024-02-27 08:39,717,40,ACTIVEGEL AR 4000, ,S
0, 2024-02-27 08:39,717,41,4807, ,S
0, 2024-02-27 08:39,717,42,SW-13 F, ,S
0, 2024-02-27 08:39,717,43,SW-07, ,S
0, 2024-02-27 08:39,717,44,SW-08, ,S
0, 2024-02-27 08:39,717,45,SW-01, ,S
0, 2024-02-27 08:39,717,46,SW-04, ,S
0, 2024-02-27 08:39,717,47,SW-05, ,S
0, 2024-02-27 08:39,717,48,SW-06, ,S
0, 2024-02-27 08:39,717,49,SW-26, ,S
0, 2024-02-27 08:39,717,50,SW-15, ,S
0, 2024-02-27 08:39,717,51,SW-21, ,S
0, 2024-02-27 08:39,717,52,SW-13 F, ,S
0, 2024-02-27 08:39,717,53,, ,S
0, 2024-02-27 08:39,717,54,, ,S
0, 2024-02-27 08:39,717,55,, ,S
0, 2024-02-27 08:39,717,56,, ,S
